stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
60,0.5,1.0,53.61250449999352,,53.59781789999397,53.61250449999352,54.11238209999283,54.11238209999283,54.11238209999283,54.59785560000455,right,1.0,1,1,0.46984200000588316,54.41248230000201,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
61,0.5,1.0,54.61180630000308,,54.59801770000195,54.61180630000308,55.112153399997624,55.112153399997624,55.112153399997624,55.51457400000072,right,1.0,1,1,0.3906767000007676,55.41266600000381,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
62,0.5,1.0,55.528917799994815,,55.514746300003026,55.528917799994815,56.02927149999596,56.02927149999596,56.02927149999596,56.43227429999388,left,-1.0,1,1,0.3988117999979295,56.328533699997934,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
63,0.5,1.0,56.4457293000014,,56.43243200000143,56.4457293000014,56.94513469999947,56.94513469999947,56.94513469999947,57.430706300001475,right,1.0,1,1,0.47138069999346044,57.244854199991096,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
64,0.5,1.0,57.44602429999213,,57.430851600001915,57.44602429999213,57.9462205000018,57.9462205000018,57.9462205000018,58.31400759999815,right,1.0,1,1,0.35780689999228343,58.2454035999981,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
65,0.5,1.0,58.32876770000439,,58.31415009999182,58.32876770000439,58.828822800001944,58.828822800001944,58.828822800001944,59.414592899993295,left,-1.0,0,0,0.580151800008025,59.12913879999542,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
66,0.5,1.5,59.42872189999616,,59.41478379999171,59.42872189999616,59.92882679999457,59.92882679999457,59.92882679999457,60.2991861999908,left,-1.5,0,0,0.36743230000138283,60.229024400003254,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
67,0.5,2.0,60.31251319999865,,60.29935829999158,60.31251319999865,60.8125413999951,60.8125413999951,60.8125413999951,61.164177799990284,right,2.0,0,0,0.3344524999993155,61.112483299992164,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
68,0.5,2.5,61.17910470000061,,61.16432470000291,61.17910470000061,61.678584199995385,61.678584199995385,61.678584199995385,62.115978999994695,left,-2.5,1,1,0.43426130000443663,61.9786282999994,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
69,0.5,2.5,62.128580599994166,,62.11617490000208,62.128580599994166,62.628808099994785,62.628808099994785,62.628808099994785,63.08135500000208,left,-2.5,1,1,0.441897800003062,62.929521800004295,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
